,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,updated_github_id,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,conda_url,conda_latest_release_published_at,conda_total_downloads,monthly_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,helm_id,brew_id,apt_id,yum_id,trending,conda_dependent_project_count,dnf_id,yay_id,snap_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2025-06-10 02:05:22.000000,2025-06-10 02:05:22,1585.0,1.0,797.0,117.0,363.0,86.0,156.0,5399.0,Benchmarks of approximate nearest neighbor libraries in Python.,112.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2025-07-31 21:05:17.000000,2025-07-31 21:05:15,353.0,7.0,188.0,57.0,208.0,1.0,3.0,2566.0,Collection of web-scraping and crawling libraries.,16.0,0,True,2025-07-31 21:05:22.000,2025.07.31,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/lukasmasuch/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2025-08-07 14:14:30.000000,2025-08-07 14:14:30,371.0,10.0,274.0,97.0,206.0,8.0,6.0,4068.0,Collection of data-loading and -extraction libraries.,14.0,0,True,2025-08-07 14:14:36.000,2025.08.07,100.0,lukasmasuch/best-of-python,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/lukasmasuch/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2025-08-07 14:14:30.000000,2025-08-07 14:14:30,371.0,10.0,274.0,97.0,206.0,8.0,6.0,4068.0,Collection of database clients for python.,14.0,0,True,2025-08-07 14:14:36.000,2025.08.07,100.0,lukasmasuch/best-of-python,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/lukasmasuch/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2025-08-07 14:14:30.000000,2025-08-07 14:14:30,371.0,10.0,274.0,97.0,206.0,8.0,6.0,4068.0,"Collection of data-container, dataframe, and pandas-utility libraries.",14.0,0,True,2025-08-07 14:14:36.000,2025.08.07,100.0,lukasmasuch/best-of-python,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/lukasmasuch/best-of-python,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2025-08-07 14:14:30.000000,2025-08-07 14:14:30,371.0,10.0,274.0,97.0,206.0,8.0,6.0,4068.0,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",14.0,0,True,2025-08-07 14:14:36.000,2025.08.07,100.0,lukasmasuch/best-of-python,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2025-08-07 14:05:20.000000,2025-08-07 13:57:57,183292.0,3428.0,74761.0,7462.0,55728.0,1491.0,39816.0,193885.0,An Open Source Machine Learning Framework for Everyone.,4907.0,54,True,2025-03-12 01:04:13.000,2.19.0,208.0,,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],546669.0,537429.0,https://pypi.org/project/tensorflow,2025-07-29 21:24:45.000,9240.0,https://anaconda.org/conda-forge/tensorflow,2025-08-07 13:16:35.649,5731356.0,778675.0,https://hub.docker.com/r/tensorflow/tensorflow,2025-08-07 12:49:19.164702,2793.0,80112137.0,1.0,,,,,,,,,,,,,,,,,,,
7,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2025-08-07 14:09:00.000000,2025-08-07 13:09:33,91376.0,3799.0,24873.0,1787.0,106689.0,16723.0,37557.0,92161.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,5802.0,53,True,2025-08-06 17:06:10.000,2.8.0,61.0,,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],845705.0,818466.0,https://pypi.org/project/torch,2025-08-06 14:53:15.000,27239.0,https://anaconda.org/pytorch/pytorch,2025-03-25 16:24:31.802,27928542.0,595122.0,,,,,1.0,96179.0,,,,,,,,,,,,,,,,,,
8,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2025-08-07 11:35:07.000000,2025-08-07 11:35:07,32709.0,260.0,26111.0,2138.0,19140.0,2145.0,10051.0,62928.0,scikit-learn: machine learning in Python.,3361.0,51,True,2025-07-18 09:24:49.000,1.7.1,87.0,,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],1350396.0,1317824.0,https://pypi.org/project/scikit-learn,2025-07-18 08:01:00.000,32572.0,https://anaconda.org/conda-forge/scikit-learn,2025-07-22 10:49:17.158,38254433.0,607222.0,,,,,1.0,1062.0,,,,,,,,,,,,,,,,,,
9,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2025-08-07 14:10:34.000000,2025-08-07 14:00:28,19939.0,1028.0,29910.0,1157.0,21706.0,1927.0,16631.0,148019.0,"Transformers: the model-definition framework for state-of-the-art machine learning models in text, vision, audio, and..",3465.0,50,True,2025-08-05 16:13:34.000,4.55.0,191.0,,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",407408.0,397622.0,https://pypi.org/project/transformers,2025-08-05 16:13:34.000,9786.0,https://anaconda.org/conda-forge/transformers,2025-08-05 18:38:06.259,3053054.0,50050.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
