,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,updated_github_id,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,conda_url,conda_latest_release_published_at,conda_total_downloads,monthly_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,trending,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,helm_id,brew_id,apt_id,yum_id,conda_dependent_project_count,dnf_id,yay_id,snap_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2025-06-10 02:05:22.000000,2025-06-10 02:05:22,1585.0,1.0,800.0,117.0,363.0,87.0,156.0,5404.0,Benchmarks of approximate nearest neighbor libraries in Python.,112.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2025-08-07 17:40:01.000000,2025-08-07 17:40:00,355.0,9.0,188.0,57.0,209.0,1.0,3.0,2571.0,Collection of web-scraping and crawling libraries.,16.0,0,True,2025-08-07 17:40:05.000,2025.08.07,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/lukasmasuch/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2025-08-14 14:18:45.000000,2025-08-14 14:18:45,373.0,12.0,273.0,98.0,207.0,8.0,6.0,4091.0,Collection of data-loading and -extraction libraries.,14.0,0,True,2025-08-14 14:18:52.000,2025.08.14,100.0,lukasmasuch/best-of-python,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/lukasmasuch/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2025-08-14 14:18:45.000000,2025-08-14 14:18:45,373.0,12.0,273.0,98.0,207.0,8.0,6.0,4091.0,Collection of database clients for python.,14.0,0,True,2025-08-14 14:18:52.000,2025.08.14,100.0,lukasmasuch/best-of-python,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/lukasmasuch/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2025-08-14 14:18:45.000000,2025-08-14 14:18:45,373.0,12.0,273.0,98.0,207.0,8.0,6.0,4091.0,"Collection of data-container, dataframe, and pandas-utility libraries.",14.0,0,True,2025-08-14 14:18:52.000,2025.08.14,100.0,lukasmasuch/best-of-python,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/lukasmasuch/best-of-python,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2025-08-14 14:18:45.000000,2025-08-14 14:18:45,373.0,12.0,273.0,98.0,207.0,8.0,6.0,4091.0,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",14.0,0,True,2025-08-14 14:18:52.000,2025.08.14,100.0,lukasmasuch/best-of-python,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2025-08-14 13:59:00.000000,2025-08-14 13:49:39,183587.0,3409.0,74769.0,7457.0,56188.0,1584.0,39831.0,193971.0,An Open Source Machine Learning Framework for Everyone.,4910.0,54,True,2025-08-13 17:45:14.000,2.20.0,210.0,,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],546893.0,537635.0,https://pypi.org/project/tensorflow,2025-08-13 16:50:38.000,9258.0,https://anaconda.org/conda-forge/tensorflow,2025-08-07 13:16:35.649,5757240.0,779455.0,https://hub.docker.com/r/tensorflow/tensorflow,2025-08-14 12:56:01.190358,2796.0,80153882.0,1.0,,,,,,,,,,,,,,,,,,,
7,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2025-08-14 14:01:26.000000,2025-08-14 12:46:35,91659.0,3789.0,24908.0,1788.0,107108.0,16753.0,37642.0,92358.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,5822.0,53,True,2025-08-06 17:06:10.000,2.8.0,61.0,,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],846582.0,819211.0,https://pypi.org/project/torch,2025-08-06 14:53:15.000,27371.0,https://anaconda.org/pytorch/pytorch,2025-03-25 16:24:31.802,27989431.0,596430.0,,,,,1.0,97482.0,,,,,,,,,,,,,,,,,,
8,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2025-08-14 08:52:01.000000,2025-08-14 08:52:01,32729.0,263.0,26125.0,2139.0,19180.0,2156.0,10066.0,63025.0,scikit-learn: machine learning in Python.,3363.0,51,True,2025-07-18 09:24:49.000,1.7.1,87.0,,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],1351369.0,1318637.0,https://pypi.org/project/scikit-learn,2025-07-18 08:01:00.000,32732.0,https://anaconda.org/conda-forge/scikit-learn,2025-07-22 10:49:17.158,38438560.0,610144.0,,,,,1.0,1062.0,,,,,,,,,,,,,,,,,,
9,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2025-08-14 14:04:05.000000,2025-08-14 12:21:39,20038.0,1064.0,30004.0,1158.0,21828.0,1948.0,16677.0,148309.0,"Transformers: the model-definition framework for state-of-the-art machine learning models in text, vision, audio, and..",3485.0,50,True,2025-08-13 18:25:51.000,4.55.2,193.0,,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",408014.0,398108.0,https://pypi.org/project/transformers,2025-08-13 18:25:40.000,9906.0,https://anaconda.org/conda-forge/transformers,2025-08-14 01:35:23.978,3072185.0,50363.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
