,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,recent_commit_count,latest_stable_release_published_at,latest_stable_release_number,release_count,updated_github_id,pypi_id,conda_id,docs_url,labels,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,helm_id,trending,brew_id,apt_id,yum_id,conda_dependent_project_count,dnf_id,yay_id,snap_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2025-06-10 02:05:22.000000,2025-06-10 02:05:22,1585.0,809.0,117.0,364.0,89.0,156.0,5431.0,Benchmarks of approximate nearest neighbor libraries in Python.,112.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2025-09-04 17:43:02.000000,2025-09-04 17:43:00,363.0,187.0,57.0,213.0,,4.0,2595.0,Collection of web-scraping and crawling libraries.,16.0,0,True,17.0,2025-09-04 17:43:06.000,2025.09.04,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/lukasmasuch/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2025-09-11 14:12:24.000000,2025-09-11 14:12:24,381.0,273.0,99.0,211.0,8.0,6.0,4134.0,Collection of data-loading and -extraction libraries.,14.0,0,True,20.0,2025-09-11 14:12:34.000,2025.09.11,100.0,lukasmasuch/best-of-python,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/lukasmasuch/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2025-09-11 14:12:24.000000,2025-09-11 14:12:24,381.0,273.0,99.0,211.0,8.0,6.0,4134.0,Collection of database clients for python.,14.0,0,True,20.0,2025-09-11 14:12:34.000,2025.09.11,100.0,lukasmasuch/best-of-python,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/lukasmasuch/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2025-09-11 14:12:24.000000,2025-09-11 14:12:24,381.0,273.0,99.0,211.0,8.0,6.0,4134.0,"Collection of data-container, dataframe, and pandas-utility libraries.",14.0,0,True,20.0,2025-09-11 14:12:34.000,2025.09.11,100.0,lukasmasuch/best-of-python,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/lukasmasuch/best-of-python,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2025-09-11 14:12:24.000000,2025-09-11 14:12:24,381.0,273.0,99.0,211.0,8.0,6.0,4134.0,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",14.0,0,True,20.0,2025-09-11 14:12:34.000,2025.09.11,100.0,lukasmasuch/best-of-python,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2025-09-11 14:01:21.000000,2025-09-11 10:04:27,92874.0,25148.0,1792.0,108606.0,17045.0,37992.0,93105.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,5881.0,56,True,3843.0,2025-08-06 17:06:10.000,2.8.0,61.0,,torch,pytorch/pytorch,https://pytorch.org/docs/stable/index.html,['pytorch'],100948.0,65211759.0,850269.0,822184.0,https://pypi.org/project/torch,2025-08-06 14:53:15.000,28085.0,64621576.0,https://anaconda.org/pytorch/pytorch,2025-03-25 16:24:31.802,28283985.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
7,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2025-09-11 14:03:23.000000,2025-09-11 13:07:04,184460.0,74821.0,7455.0,57347.0,1668.0,39900.0,194385.0,An Open Source Machine Learning Framework for Everyone.,4926.0,55,True,3137.0,2025-08-13 17:45:14.000,2.20.0,210.0,,tensorflow,conda-forge/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],,22340736.0,547611.0,538339.0,https://pypi.org/project/tensorflow,2025-08-13 16:50:38.000,9272.0,21565641.0,https://anaconda.org/conda-forge/tensorflow,2025-09-11 02:20:56.517,5852874.0,1.0,tensorflow/tensorflow,https://hub.docker.com/r/tensorflow/tensorflow,2025-09-11 12:50:12.450855,2800.0,80321897.0,,,,,,,,,,,,,,,,,,
8,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2025-09-11 13:55:45.000000,2025-09-11 12:15:15,20408.0,30268.0,1167.0,22338.0,1984.0,16841.0,149453.0,"Transformers: the model-definition framework for state-of-the-art machine learning models in text, vision, audio, and..",3559.0,54,True,1102.0,2025-09-04 20:47:27.000,4.56.1,197.0,,transformers,conda-forge/transformers,,"['pytorch', 'tensorflow']",,105550646.0,410313.0,400074.0,https://pypi.org/project/transformers,2025-09-04 20:47:04.000,10239.0,105499745.0,https://anaconda.org/conda-forge/transformers,2025-09-05 01:29:55.430,3155878.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
9,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2025-09-11 13:33:50.000000,2025-09-11 13:33:50,32835.0,26211.0,2135.0,19334.0,2162.0,10111.0,63311.0,scikit-learn: machine learning in Python.,3377.0,53,True,298.0,2025-09-09 08:57:24.000,1.7.2,88.0,,scikit-learn,conda-forge/scikit-learn,,['sklearn'],1062.0,129364565.0,1355224.0,1321667.0,https://pypi.org/project/scikit-learn,2025-09-09 08:20:19.000,33557.0,128753417.0,https://anaconda.org/conda-forge/scikit-learn,2025-09-09 16:17:03.021,39112948.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
10,scipy,scipy/scipy,others,,https://github.com/scipy/scipy,https://github.com/scipy/scipy,BSD-3-Clause,2011-03-09 18:52:03.000,2025-09-11 02:43:47.000000,2025-09-10 20:07:36,35865.0,5469.0,352.0,12560.0,1766.0,9528.0,14014.0,"Ecosystem of open-source software for mathematics, science, and engineering.",1822.0,51,True,408.0,2025-07-27 17:14:18.000,1.16.1,118.0,,scipy,conda-forge/scipy,,,245181.0,198371827.0,1456382.0,1397582.0,https://pypi.org/project/scipy,2025-07-27 16:26:29.000,58800.0,197201417.0,https://anaconda.org/conda-forge/scipy,2025-08-30 08:51:11.890,67763320.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
11,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2025-09-10 23:49:31.000000,2025-09-10 23:49:31,11693.0,19627.0,1881.0,8330.0,270.0,12315.0,63401.0,Deep Learning for humans.,1431.0,50,True,134.0,2025-08-22 17:48:22.000,3.11.3,113.0,,keras,conda-forge/keras,https://keras.io,['tensorflow'],,14751418.0,305779.0,303804.0,https://pypi.org/project/keras,2025-08-21 22:08:55.000,1975.0,14682258.0,https://anaconda.org/conda-forge/keras,2025-08-14 14:37:18.300,4357142.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
12,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,BSD-3-Clause,2010-04-30 20:37:14.000,2025-09-09 15:54:04.000000,2025-09-09 15:54:04,61012.0,4773.0,290.0,14162.0,5415.0,9191.0,13909.0,A computer algebra system written in pure Python.,1403.0,50,True,595.0,2025-04-27 18:05:25.000,1.14.0,67.0,,sympy,conda-forge/sympy,,,564073.0,68620943.0,288836.0,284273.0,https://pypi.org/project/sympy,2025-04-27 18:04:59.000,4563.0,68460718.0,https://anaconda.org/conda-forge/sympy,2025-04-29 17:03:51.938,10007203.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
13,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,,2011-02-19 03:17:12.000,2025-09-10 19:28:46.000000,2025-09-10 19:28:46,53214.0,7980.0,587.0,19529.0,1635.0,9743.0,21687.0,matplotlib: plotting with Python.,1852.0,49,True,447.0,2025-08-30 00:12:30.000,3.10.6,135.0,,matplotlib,conda-forge/matplotlib,,,,112815299.0,1916058.0,1849924.0,https://pypi.org/project/matplotlib,2025-08-30 00:12:30.000,66134.0,112299963.0,https://anaconda.org/conda-forge/matplotlib,2025-09-04 19:48:17.124,32466173.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
14,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2025-09-08 14:42:23.000000,2025-09-08 14:42:23,19894.0,2322.0,218.0,5645.0,143.0,3277.0,13061.0,Python Imaging Library (Fork).,490.0,49,True,269.0,2025-07-01 09:23:32.000,11.3.0,103.0,,Pillow,conda-forge/pillow,,,,197476769.0,2403270.0,2385471.0,https://pypi.org/project/Pillow,2025-07-01 09:13:39.000,17799.0,196514259.0,https://anaconda.org/conda-forge/pillow,2025-09-02 23:45:27.270,59675634.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
15,Streamlit,streamlit/streamlit,others,,https://github.com/streamlit/streamlit,https://github.com/streamlit/streamlit,Apache-2.0,2019-08-24 00:14:52.000,2025-09-11 14:57:24.000000,2025-09-11 14:11:57,8259.0,3707.0,324.0,6913.0,1263.0,4344.0,41317.0,Streamlit A faster way to build and share data apps.,521.0,47,True,477.0,2025-08-29 18:35:49.000,1.49.1,252.0,,streamlit,,,,,13900584.0,1001398.0,997103.0,https://pypi.org/project/streamlit,2025-08-29 18:35:42.000,4295.0,13900584.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
16,Ray,ray-project/ray,distributed-ml,,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000,2025-09-11 14:06:17.000000,2025-09-11 14:06:15,26971.0,6780.0,491.0,35023.0,3060.0,18347.0,38886.0,Ray is an AI compute engine. Ray consists of a core distributed runtime and a set of AI Libraries for accelerating ML..,1344.0,47,True,1381.0,2025-09-03 00:44:11.000,ray-2.49.1,133.0,,ray,conda-forge/ray-tune,,,264.0,15907417.0,27032.0,25983.0,https://pypi.org/project/ray,2025-09-03 00:24:38.000,1049.0,15892178.0,https://anaconda.org/conda-forge/ray-tune,2025-09-09 15:35:08.619,868497.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
17,Plotly,plotly/plotly.py,data-viz,,https://github.com/plotly/plotly.py,https://github.com/plotly/plotly.py,MIT,2013-11-21 05:53:08.000,2025-09-10 17:47:59.000000,2025-08-27 16:32:51,8192.0,2709.0,279.0,1949.0,722.0,2578.0,17715.0,The interactive graphing library for Python.,292.0,47,True,125.0,2025-08-12 20:24:33.000,6.3.0,310.0,,plotly,conda-forge/plotly,,,475.0,31885990.0,466670.0,457154.0,https://pypi.org/project/plotly,2025-08-12 20:22:09.000,9507.0,31709423.0,https://anaconda.org/conda-forge/plotly,2025-08-13 06:43:59.044,11082368.0,1.0,,,,,,plotlywidget,https://www.npmjs.com/package/plotlywidget,2021-01-12 16:09:46.133,9.0,3402.0,,,,,,,,,,,,,
18,XGBoost,dmlc/xgboost,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000,2025-09-10 18:52:04.000000,2025-09-10 18:52:04,7531.0,8799.0,898.0,6113.0,476.0,5128.0,27342.0,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",667.0,46,True,98.0,2025-09-05 09:19:35.000,3.0.5,93.0,,xgboost,conda-forge/xgboost,https://xgboost.readthedocs.io/en/latest/,,18838.0,32189043.0,169517.0,166760.0,https://pypi.org/project/xgboost,2025-09-05 09:19:35.000,2757.0,32084795.0,https://anaconda.org/conda-forge/xgboost,2025-09-08 19:10:19.915,6454985.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
