,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,recent_commit_count,latest_stable_release_published_at,latest_stable_release_number,release_count,updated_github_id,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,trending,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,helm_id,brew_id,apt_id,yum_id,conda_dependent_project_count,dnf_id,yay_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,snap_id
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2025-06-10 02:05:22.000000,2025-06-10 02:05:22,1585.0,810.0,117.0,366.0,89.0,156.0,5450.0,Benchmarks of approximate nearest neighbor libraries in Python.,112.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2025-09-18 17:26:52.000000,2025-09-18 17:26:50,367.0,187.0,57.0,215.0,,4.0,2607.0,Collection of web-scraping and crawling libraries.,16.0,0,True,21.0,2025-09-18 17:26:55.000,2025.09.18,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/lukasmasuch/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2025-09-25 13:50:10.000000,2025-09-18 14:54:54,383.0,274.0,100.0,213.0,8.0,6.0,4154.0,Collection of data-loading and -extraction libraries.,14.0,0,True,22.0,2025-09-18 14:55:01.000,2025.09.18,100.0,lukasmasuch/best-of-python,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/lukasmasuch/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2025-09-25 13:50:10.000000,2025-09-18 14:54:54,383.0,274.0,100.0,213.0,8.0,6.0,4154.0,Collection of database clients for python.,14.0,0,True,22.0,2025-09-18 14:55:01.000,2025.09.18,100.0,lukasmasuch/best-of-python,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/lukasmasuch/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2025-09-25 13:50:10.000000,2025-09-18 14:54:54,383.0,274.0,100.0,213.0,8.0,6.0,4154.0,"Collection of data-container, dataframe, and pandas-utility libraries.",14.0,0,True,22.0,2025-09-18 14:55:01.000,2025.09.18,100.0,lukasmasuch/best-of-python,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/lukasmasuch/best-of-python,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2025-09-25 13:50:10.000000,2025-09-18 14:54:54,383.0,274.0,100.0,213.0,8.0,6.0,4154.0,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",14.0,0,True,22.0,2025-09-18 14:55:01.000,2025.09.18,100.0,lukasmasuch/best-of-python,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2025-09-25 14:02:41.000000,2025-09-25 13:59:34,185054.0,74841.0,7458.0,58175.0,1627.0,40035.0,194594.0,An Open Source Machine Learning Framework for Everyone.,4934.0,55,True,3254.0,2025-08-13 17:45:14.000,2.20.0,210.0,,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],547978.0,538706.0,https://pypi.org/project/tensorflow,2025-08-13 16:50:38.000,9272.0,22646378.0,23422971.0,https://anaconda.org/conda-forge/tensorflow,2025-09-11 02:20:56.517,5899115.0,https://hub.docker.com/r/tensorflow/tensorflow,2025-09-25 12:49:51.947602,2802.0,80410645.0,1.0,,,,,,,,,,,,,,,,,,,
7,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2025-09-25 14:04:49.000000,2025-09-25 14:03:14,93500.0,25148.0,1794.0,109449.0,17045.0,38349.0,93462.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,5920.0,55,True,3761.0,2025-08-06 17:06:10.000,2.8.0,61.0,,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],851744.0,823659.0,https://pypi.org/project/torch,2025-08-06 14:53:15.000,28085.0,66510318.0,67104570.0,https://anaconda.org/pytorch/pytorch,2025-03-25 16:24:31.802,28478258.0,,,,,1.0,103196.0,,,,,,,,,,,,,,,,,,
8,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2025-09-25 14:08:59.000000,2025-09-25 13:52:24,20582.0,30508.0,1172.0,22601.0,2001.0,16914.0,150242.0,"Transformers: the model-definition framework for state-of-the-art machine learning models in text, vision, audio, and..",3582.0,54,True,1114.0,2025-09-19 15:16:23.000,4.56.2,198.0,,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",411536.0,401074.0,https://pypi.org/project/transformers,2025-09-19 15:16:23.000,10462.0,102321844.0,102373607.0,https://anaconda.org/conda-forge/transformers,2025-09-19 18:29:52.598,3209350.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
9,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2025-09-25 13:22:08.000000,2025-09-25 13:22:08,32881.0,26266.0,2136.0,19417.0,2184.0,10125.0,63447.0,scikit-learn: machine learning in Python.,3385.0,53,True,301.0,2025-09-09 08:57:24.000,1.7.2,88.0,,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],1356769.0,1323212.0,https://pypi.org/project/scikit-learn,2025-09-09 08:20:19.000,33557.0,134714011.0,135330613.0,https://anaconda.org/conda-forge/scikit-learn,2025-09-09 16:17:03.021,39461984.0,,,,,1.0,1062.0,,,,,,,,,,,,,,,,,,
10,scipy,scipy/scipy,others,,https://github.com/scipy/scipy,https://github.com/scipy/scipy,BSD-3-Clause,2011-03-09 18:52:03.000,2025-09-25 15:36:21.000000,2025-09-25 15:36:21,35932.0,5473.0,352.0,12618.0,1772.0,9558.0,14047.0,"Ecosystem of open-source software for mathematics, science, and engineering.",1827.0,51,True,384.0,2025-09-11 17:48:49.000,1.16.2,119.0,,scipy,conda-forge/scipy,,,,1458599.0,1399382.0,https://pypi.org/project/scipy,2025-09-11 17:39:20.000,59217.0,208504369.0,209685988.0,https://anaconda.org/conda-forge/scipy,2025-09-12 16:39:24.638,68454263.0,,,,,1.0,160762.0,,,,,,,,,,,,,,,,,,
11,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2025-09-24 23:40:54.000000,2025-09-24 23:40:54,11710.0,19627.0,1881.0,8355.0,262.0,12324.0,63427.0,Deep Learning for humans.,1434.0,50,True,136.0,2025-08-22 17:48:22.000,3.11.3,113.0,,keras,conda-forge/keras,,https://keras.io,['tensorflow'],305985.0,303978.0,https://pypi.org/project/keras,2025-08-21 22:08:55.000,2007.0,15400398.0,15470093.0,https://anaconda.org/conda-forge/keras,2025-08-14 14:37:18.300,4390823.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
12,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,BSD-3-Clause,2010-04-30 20:37:14.000,2025-09-24 17:30:35.000000,2025-09-24 17:30:35,61100.0,4773.0,292.0,14181.0,5415.0,9197.0,13944.0,A computer algebra system written in pure Python.,1407.0,50,True,599.0,2025-04-27 18:05:25.000,1.14.0,67.0,,sympy,conda-forge/sympy,,,,289361.0,284798.0,https://pypi.org/project/sympy,2025-04-27 18:04:59.000,4563.0,69196453.0,69359328.0,https://anaconda.org/conda-forge/sympy,2025-04-29 17:03:51.938,10176459.0,,,,,1.0,564768.0,,,,,,,,,,,,,,,,,,
