,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,recent_commit_count,latest_stable_release_published_at,latest_stable_release_number,release_count,updated_github_id,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,trending,helm_id,brew_id,apt_id,yum_id,conda_dependent_project_count,dnf_id,yay_id,snap_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2025-06-10 02:05:22.000000,2025-06-10 02:05:22,1585.0,815.0,114.0,368.0,90.0,156.0,5471.0,Benchmarks of approximate nearest neighbor libraries in Python.,112.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2025-10-23 16:11:04.000000,2025-10-18 01:19:12,373.0,192.0,56.0,219.0,3.0,4.0,2624.0,Collection of web-scraping and crawling libraries.,16.0,0,True,22.0,2025-10-18 01:19:22.000,2025.10.16,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/lukasmasuch/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2025-10-23 14:40:19.000000,2025-10-17 23:46:46,391.0,280.0,97.0,218.0,9.0,6.0,4193.0,Collection of data-loading and -extraction libraries.,14.0,0,True,25.0,2025-10-17 23:47:01.000,2025.10.16,100.0,lukasmasuch/best-of-python,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/lukasmasuch/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2025-10-23 14:40:19.000000,2025-10-17 23:46:46,391.0,280.0,97.0,218.0,9.0,6.0,4193.0,Collection of database clients for python.,14.0,0,True,25.0,2025-10-17 23:47:01.000,2025.10.16,100.0,lukasmasuch/best-of-python,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/lukasmasuch/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2025-10-23 14:40:19.000000,2025-10-17 23:46:46,391.0,280.0,97.0,218.0,9.0,6.0,4193.0,"Collection of data-container, dataframe, and pandas-utility libraries.",14.0,0,True,25.0,2025-10-17 23:47:01.000,2025.10.16,100.0,lukasmasuch/best-of-python,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/lukasmasuch/best-of-python,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2025-10-23 14:40:19.000000,2025-10-17 23:46:46,391.0,280.0,97.0,218.0,9.0,6.0,4193.0,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",14.0,0,True,25.0,2025-10-17 23:47:01.000,2025.10.16,100.0,lukasmasuch/best-of-python,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2025-10-23 13:58:17.000000,2025-10-23 13:58:09,186177.0,74902.0,7432.0,59841.0,1890.0,40077.0,194973.0,An Open Source Machine Learning Framework for Everyone.,4952.0,56,True,3466.0,2025-08-13 17:45:14.000,2.20.0,210.0,,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],549184.0,539657.0,https://pypi.org/project/tensorflow,2025-08-13 16:50:38.000,9527.0,24832719.0,25605572.0,https://anaconda.org/conda-forge/tensorflow,2025-10-23 02:58:49.338,5987395.0,https://hub.docker.com/r/tensorflow/tensorflow,2025-10-23 12:50:25.426010,2814.0,80660038.0,1.0,,,,,,,,,,,,,,,,,,,
7,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2025-10-23 13:39:25.000000,2025-10-23 10:22:06,94857.0,25583.0,1777.0,111194.0,17000.0,38993.0,94193.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,5985.0,56,True,3946.0,2025-10-15 17:12:27.000,2.9.0,62.0,,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],856320.0,826842.0,https://pypi.org/project/torch,2025-10-15 15:45:59.000,29478.0,67674080.0,68263728.0,https://anaconda.org/pytorch/pytorch,2025-03-25 16:24:31.802,28844441.0,,,,,1.0,107506.0,,,,,,,,,,,,,,,,,,
8,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2025-10-23 14:09:21.000000,2025-10-23 13:33:55,20966.0,30915.0,1167.0,23131.0,2069.0,17007.0,151505.0,"Transformers: the model-definition framework for state-of-the-art machine learning models in text, vision, audio, and..",3626.0,54,True,1171.0,2025-10-14 15:39:34.000,4.57.1,201.0,,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",413977.0,403126.0,https://pypi.org/project/transformers,2025-10-14 15:39:23.000,10851.0,91263169.0,91315729.0,https://anaconda.org/conda-forge/transformers,2025-10-14 17:20:28.224,3311316.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
9,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2025-10-23 11:47:59.000000,2025-10-23 11:47:58,33060.0,26344.0,2120.0,19648.0,2149.0,10176.0,63776.0,scikit-learn: machine learning in Python.,3429.0,53,True,387.0,2025-09-09 08:57:24.000,1.7.2,88.0,,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],1361327.0,1326574.0,https://pypi.org/project/scikit-learn,2025-09-09 08:20:19.000,34753.0,137962405.0,138579907.0,https://anaconda.org/conda-forge/scikit-learn,2025-09-09 16:17:03.021,40137101.0,,,,,1.0,1062.0,,,,,,,,,,,,,,,,,,
10,scipy,scipy/scipy,others,,https://github.com/scipy/scipy,https://github.com/scipy/scipy,BSD-3-Clause,2011-03-09 18:52:03.000,2025-10-23 09:50:54.000000,2025-10-23 09:50:54,36159.0,5494.0,344.0,12738.0,1755.0,9598.0,14116.0,"Ecosystem of open-source software for mathematics, science, and engineering.",1841.0,51,True,458.0,2025-09-11 17:48:49.000,1.16.2,119.0,,scipy,conda-forge/scipy,,,,1463556.0,1403257.0,https://pypi.org/project/scipy,2025-09-11 17:39:20.000,60299.0,211003275.0,212186497.0,https://anaconda.org/conda-forge/scipy,2025-09-12 16:39:24.638,69756763.0,,,,,1.0,106763.0,,,,,,,,,,,,,,,,,,
11,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2025-10-23 00:10:47.000000,2025-10-23 00:10:47,11751.0,19626.0,1870.0,8413.0,258.0,12346.0,63501.0,Deep Learning for humans.,1436.0,50,True,133.0,2025-08-22 17:48:22.000,3.11.3,113.0,,keras,conda-forge/keras,,https://keras.io,['tensorflow'],306534.0,304503.0,https://pypi.org/project/keras,2025-08-21 22:08:55.000,2031.0,17611333.0,17680987.0,https://anaconda.org/conda-forge/keras,2025-08-14 14:37:18.300,4457914.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
12,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,,2011-02-19 03:17:12.000,2025-10-23 08:32:03.000000,2025-10-22 20:36:37,53351.0,8060.0,584.0,19614.0,1630.0,9791.0,21866.0,matplotlib: plotting with Python.,1855.0,49,True,355.0,2025-10-09 00:26:06.000,3.10.7,136.0,,matplotlib,conda-forge/matplotlib,,,,1924665.0,1856383.0,https://pypi.org/project/matplotlib,2025-10-09 00:26:06.000,68282.0,120876481.0,121396750.0,https://anaconda.org/conda-forge/matplotlib,2025-10-15 21:28:30.386,33297228.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
13,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,BSD-3-Clause,2010-04-30 20:37:14.000,2025-10-22 13:25:43.000000,2025-10-22 13:25:43,61183.0,4773.0,284.0,14230.0,5415.0,9211.0,14019.0,A computer algebra system written in pure Python.,1414.0,49,True,489.0,2025-04-27 18:05:25.000,1.14.0,67.0,,sympy,conda-forge/sympy,,,,290580.0,286017.0,https://pypi.org/project/sympy,2025-04-27 18:04:59.000,4563.0,70726150.0,70892005.0,https://anaconda.org/conda-forge/sympy,2025-04-29 17:03:51.938,10530448.0,,,,,1.0,565857.0,,,,,,,,,,,,,,,,,,
14,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2025-10-17 18:18:11.000000,2025-10-17 18:18:10,20114.0,2337.0,216.0,5700.0,110.0,3294.0,13144.0,Python Imaging Library (Fork).,491.0,49,True,251.0,2025-10-15 18:27:27.000,12.0.0,104.0,,Pillow,conda-forge/pillow,,,,2412511.0,2393039.0,https://pypi.org/project/Pillow,2025-10-15 18:21:27.000,19472.0,212256367.0,213236444.0,https://anaconda.org/conda-forge/pillow,2025-09-18 17:04:36.385,61744900.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
15,Ray,ray-project/ray,distributed-ml,,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000,2025-10-23 15:22:52.000000,2025-10-23 06:57:51,27708.0,6810.0,480.0,36053.0,3170.0,18825.0,39446.0,Ray is an AI compute engine. Ray consists of a core distributed runtime and a set of AI Libraries for accelerating ML..,1381.0,48,True,1542.0,2025-10-18 19:21:43.000,ray-2.50.1,136.0,,ray,conda-forge/ray-tune,,,,27620.0,26529.0,https://pypi.org/project/ray,2025-10-18 01:40:06.000,1091.0,30097503.0,30113183.0,https://anaconda.org/conda-forge/ray-tune,2025-10-22 09:47:50.322,909321.0,,,,,1.0,267.0,,,,,,,,,,,,,,,,,,
16,Streamlit,streamlit/streamlit,others,,https://github.com/streamlit/streamlit,https://github.com/streamlit/streamlit,Apache-2.0,2019-08-24 00:14:52.000,2025-10-23 15:31:40.000000,2025-10-22 23:14:19,8417.0,3818.0,320.0,7179.0,1345.0,4401.0,41911.0,Streamlit A faster way to build and share data apps.,562.0,47,True,406.0,2025-09-23 19:24:05.000,1.50.0,253.0,,streamlit,,,,,1003449.0,998876.0,https://pypi.org/project/streamlit,2025-09-23 19:23:57.000,4573.0,18254048.0,18254048.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
17,mlflow,mlflow/mlflow,ml-experiments,,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58.000,2025-10-23 15:09:34.000000,2025-10-23 15:08:24,9169.0,4917.0,315.0,13352.0,2039.0,3161.0,22619.0,The open source developer platform to build AI/LLM applications and models with confidence. Enhance your AI..,910.0,47,True,903.0,2025-10-22 19:07:21.000,3.5.1,159.0,,mlflow,conda-forge/mlflow,,,,67076.0,65769.0,https://pypi.org/project/mlflow,2025-10-22 18:11:44.000,1307.0,25072893.0,25129840.0,https://anaconda.org/conda-forge/mlflow,2025-10-22 13:51:12.642,3644653.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
18,Plotly,plotly/plotly.py,data-viz,,https://github.com/plotly/plotly.py,https://github.com/plotly/plotly.py,MIT,2013-11-21 05:53:08.000,2025-10-22 18:58:42.000000,2025-10-22 18:58:42,8261.0,2721.0,277.0,1966.0,720.0,2587.0,17879.0,The interactive graphing library for Python.,298.0,47,True,115.0,2025-10-02 16:10:22.000,6.3.1,311.0,,plotly,conda-forge/plotly,,,,469250.0,459507.0,https://pypi.org/project/plotly,2025-10-02 16:10:22.000,9734.0,36467065.0,36647159.0,https://anaconda.org/conda-forge/plotly,2025-10-03 02:15:51.222,11529721.0,,,,,1.0,540.0,plotlywidget,https://www.npmjs.com/package/plotlywidget,2021-01-12 16:09:46.133,9.0,2710.0,,,,,,,,,,,,,
19,nltk,nltk/nltk,nlp,,https://github.com/nltk/nltk,https://github.com/nltk/nltk,Apache-2.0,2009-09-07 10:53:58.000,2025-10-22 02:49:30.000000,2025-10-22 02:49:30,14822.0,2951.0,445.0,1537.0,269.0,1611.0,14346.0,Suite of libraries and programs for symbolic and statistical natural language processing for English.,477.0,47,True,49.0,2025-10-01 07:19:21.000,3.9.2,64.0,,nltk,conda-forge/nltk,,,,416180.0,409912.0,https://pypi.org/project/nltk,2025-10-01 07:19:21.000,6268.0,40040075.0,40102285.0,https://anaconda.org/conda-forge/nltk,2025-10-01 15:16:27.009,3421603.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
20,Gradio,gradio-app/gradio,others,,https://github.com/gradio-app/gradio,https://github.com/gradio-app/gradio,Apache-2.0,2018-12-19 08:24:04.000,2025-10-23 16:25:55.000000,2025-10-22 20:15:39,8117.0,3109.0,186.0,5622.0,401.0,5703.0,40298.0,"Wrap UIs around any model, share with anyone.",700.0,46,True,210.0,2025-10-08 20:18:34.000,5.49.1,680.0,,gradio,,,,,85180.0,83580.0,https://pypi.org/project/gradio,2025-10-22 11:51:59.000,1600.0,10143033.0,10143033.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
21,litellm,BerriAI/litellm,nlp,,https://github.com/BerriAI/litellm,https://github.com/BerriAI/litellm,MIT,2023-07-27 00:09:52.000,2025-10-23 16:15:50.000000,2025-10-23 16:10:41,26725.0,4448.0,143.0,7990.0,1318.0,6365.0,30248.0,"Python SDK, Proxy Server (LLM Gateway) to call 100+ LLM APIs in OpenAI format - [Bedrock, Azure, OpenAI, VertexAI,..",936.0,46,True,3101.0,2025-10-22 22:33:31.000,1.78.7-nightly,1240.0,,litellm,,,,others,19106.0,17247.0,https://pypi.org/project/litellm,2025-10-22 22:18:03.000,1859.0,32436613.0,32436885.0,,,,,,,,1.0,818.0,,,,,,,,,,,,,,,,,,
22,XGBoost,dmlc/xgboost,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000,2025-10-22 23:18:27.000000,2025-10-22 23:18:27,7574.0,8817.0,890.0,6184.0,474.0,5147.0,27515.0,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",671.0,46,True,95.0,2025-10-21 23:08:33.000,3.1.1,96.0,,xgboost,conda-forge/xgboost,,https://xgboost.readthedocs.io/en/latest/,,170484.0,167606.0,https://pypi.org/project/xgboost,2025-10-21 23:08:33.000,2878.0,31836057.0,31940886.0,https://anaconda.org/conda-forge/xgboost,2025-09-16 10:15:26.197,6595429.0,,,,,1.0,19577.0,,,,,,,,,,,,,,,,,,
23,PaddlePaddle,PaddlePaddle/Paddle,ml-frameworks,,https://github.com/PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,Apache-2.0,2016-08-15 06:59:08.000,2025-10-23 14:08:45.000000,2025-10-23 12:37:10,56017.0,5856.0,709.0,56727.0,1677.0,18019.0,23336.0,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice &.,1448.0,46,True,1161.0,2025-09-08 13:41:01.000,3.2.0,77.0,,paddlepaddle,,,,['paddle'],9084.0,8811.0,https://pypi.org/project/paddlepaddle,2025-09-08 07:50:35.000,273.0,1567992.0,1568132.0,,,,,,,,1.0,15463.0,,,,,,,,,,,,,,,,,,
24,networkx,networkx/networkx,graph,,https://github.com/networkx/networkx,https://github.com/networkx/networkx,BSD-3-Clause,2010-09-06 00:53:44.000,2025-10-21 22:25:19.000000,2025-10-21 22:25:19,8129.0,3392.0,277.0,4330.0,388.0,3139.0,16271.0,Network Analysis in Python.,793.0,46,True,95.0,2025-05-29 11:58:31.000,networkx-3.5,100.0,,networkx,conda-forge/networkx,,,,442023.0,430396.0,https://pypi.org/project/networkx,2025-05-29 11:35:04.000,11627.0,127507799.0,127918227.0,https://anaconda.org/conda-forge/networkx,2025-06-04 23:05:28.954,25446561.0,,,,,1.0,113.0,,,,,,,,,,,,,,,,,,
25,jax,google/jax,ml-frameworks,,https://github.com/jax-ml/jax,https://github.com/jax-ml/jax,Apache-2.0,2018-10-25 21:25:02.000,2025-10-23 14:11:08.000000,2025-10-23 14:11:02,31405.0,3201.0,325.0,22896.0,1618.0,5011.0,33787.0,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",977.0,45,True,2128.0,2025-10-15 23:38:34.000,jax-v0.8.0,183.0,jax-ml/jax,jax,conda-forge/jaxlib,,,,49943.0,46877.0,https://pypi.org/project/jax,2025-10-15 23:10:09.000,3066.0,11656298.0,11706131.0,https://anaconda.org/conda-forge/jaxlib,2025-10-06 16:03:41.856,3189321.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
26,pytorch-lightning,Lightning-AI/lightning,ml-frameworks,,https://github.com/Lightning-AI/pytorch-lightning,https://github.com/Lightning-AI/pytorch-lightning,Apache-2.0,2019-03-31 00:45:57.000,2025-10-22 18:17:07.000000,2025-10-22 18:17:06,10892.0,3580.0,251.0,10840.0,822.0,6609.0,30303.0,"Pretrain, finetune ANY AI model of ANY size on 1 or 10,000+ GPUs with zero code changes.",1043.0,45,True,201.0,2025-09-05 16:01:16.000,2.5.5,291.0,Lightning-AI/pytorch-lightning,pytorch-lightning,conda-forge/pytorch-lightning,,,['pytorch'],50303.0,48459.0,https://pypi.org/project/pytorch-lightning,2025-09-05 16:01:16.000,1844.0,11519753.0,11546877.0,https://anaconda.org/conda-forge/pytorch-lightning,2025-09-05 19:54:11.216,1716299.0,,,,,1.0,15087.0,,,,,,,,,,,,,,,,,,
27,dash,plotly/dash,data-viz,,https://github.com/plotly/dash,https://github.com/plotly/dash,MIT,2015-04-10 01:53:08.000,2025-10-23 15:32:05.000000,2025-10-21 19:44:04,8741.0,2222.0,422.0,1355.0,577.0,1488.0,24190.0,Data Apps & Dashboards for Python. No JavaScript Required.,189.0,45,True,119.0,2025-07-31 19:20:26.000,3.2.0,200.0,,dash,conda-forge/dash,,,,91092.0,89182.0,https://pypi.org/project/dash,2025-10-22 17:29:27.000,1910.0,5328794.0,5361072.0,https://anaconda.org/conda-forge/dash,2025-08-11 10:03:34.775,2065760.0,,,,,1.0,117.0,,,,,,,,,,,,,,,,,,
28,Bokeh,bokeh/bokeh,data-viz,,https://github.com/bokeh/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2025-10-23 10:20:04.000000,2025-10-14 19:03:43,20856.0,4238.0,426.0,6424.0,836.0,7229.0,20137.0,"Interactive Data Visualization in the browser, from Python.",715.0,45,True,57.0,2025-08-29 12:16:52.000,3.8.0,248.0,,bokeh,conda-forge/bokeh,,,,106519.0,104363.0,https://pypi.org/project/bokeh,2025-10-13 07:34:05.000,2156.0,5218243.0,5495200.0,https://anaconda.org/conda-forge/bokeh,2025-08-30 08:43:51.245,17725285.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
29,triton,openai/triton,model-serialisation,,https://github.com/triton-lang/triton,https://github.com/triton-lang/triton,MIT,2014-08-30 17:07:16.000,2025-10-23 16:43:05.000000,2025-10-23 16:43:05,5057.0,2299.0,202.0,6370.0,807.0,1141.0,17319.0,Development repository for the Triton language and compiler.,477.0,45,True,541.0,2025-10-21 10:00:38.000,3.5.0,201.0,triton-lang/triton,triton,,,,,74912.0,74375.0,https://pypi.org/project/triton,2025-10-13 16:37:49.000,537.0,39604358.0,39604783.0,,,,,,,,1.0,1275.0,,,,,,,,,,,,,,,,,,
30,StatsModels,statsmodels/statsmodels,ml-frameworks,,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50.000,2025-10-22 17:12:21.000000,2025-10-22 17:12:21,15879.0,3280.0,283.0,4067.0,2924.0,2849.0,11025.0,Statsmodels: statistical modeling and econometrics in Python.,467.0,45,True,135.0,2025-07-07 12:05:08.000,0.14.5,40.0,,statsmodels,conda-forge/statsmodels,,,,184420.0,178836.0,https://pypi.org/project/statsmodels,2025-07-07 12:05:08.000,5584.0,23126655.0,23470962.0,https://anaconda.org/conda-forge/statsmodels,2025-10-01 05:55:58.268,22035677.0,,,,,1.0,36.0,,,,,,,,,,,,,,,,,,
31,PaddleOCR,PaddlePaddle/PaddleOCR,ocr,,https://github.com/PaddlePaddle/PaddleOCR,https://github.com/PaddlePaddle/PaddleOCR,Apache-2.0,2020-05-08 10:38:16.000,2025-10-22 10:39:28.000000,2025-10-22 10:38:10,6744.0,8988.0,485.0,3730.0,174.0,9931.0,60699.0,"Turn any PDF or image document into structured data for your AI. A powerful, lightweight OCR toolkit that bridges the..",313.0,44,True,68.0,2025-10-16 12:58:57.000,3.3.0,58.0,,paddleocr,,,,['paddle'],6375.0,6175.0,https://pypi.org/project/paddleocr,2025-10-16 12:58:57.000,200.0,709942.0,742983.0,,,,,,,,1.0,2015520.0,,,,,,1.0,,,,,,,,,,,,
32,PySpark,apache/spark,ml-frameworks,,https://github.com/apache/spark,https://github.com/apache/spark,Apache-2.0,2014-02-25 08:00:08.000,2025-10-23 13:37:07.000000,2025-10-23 13:37:00,45794.0,28888.0,2012.0,52664.0,218.0,,42146.0,Apache Spark Python API.,3306.0,44,True,812.0,2025-09-23 19:46:10.000,3.5.7,57.0,,pyspark,conda-forge/pyspark,,,['spark'],2070.0,,https://pypi.org/project/pyspark,2025-09-28 23:23:20.000,2070.0,47049973.0,47116095.0,https://anaconda.org/conda-forge/pyspark,2025-09-08 08:26:11.689,4231849.0,,,,,2.0,,,,,,,,stable/spark,,,,,,,,,,,
33,dask,dask/dask,distributed-ml,,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000,2025-10-22 11:17:16.000000,2025-10-22 11:17:16,9628.0,1808.0,206.0,6368.0,1192.0,4446.0,13552.0,Parallel computing with task scheduling.,630.0,44,True,41.0,2025-10-14 19:50:21.000,2025.10.0,225.0,,dask,conda-forge/dask,,,,80655.0,77423.0,https://pypi.org/project/dask,2025-10-14 19:50:21.000,3232.0,19268930.0,19489027.0,https://anaconda.org/conda-forge/dask,2025-10-14 23:26:41.666,14306311.0,,,,,1.0,,,,,,,,stable/dask,,,,,,,,,,,
34,Optuna,optuna/optuna,hyperopt,,https://github.com/optuna/optuna,https://github.com/optuna/optuna,MIT,2018-02-21 06:12:56.000,2025-10-23 02:29:08.000000,2025-10-23 02:29:08,20072.0,1166.0,122.0,4096.0,56.0,1725.0,12915.0,A hyperparameter optimization framework.,319.0,44,True,413.0,2025-08-18 06:49:20.000,4.5.0,75.0,,optuna,conda-forge/optuna,,,,31247.0,29755.0,https://pypi.org/project/optuna,2025-08-18 06:49:20.000,1492.0,7564326.0,7617262.0,https://anaconda.org/conda-forge/optuna,2025-08-19 05:22:25.570,3387904.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
35,wandb client,wandb/client,ml-experiments,,https://github.com/wandb/wandb,https://github.com/wandb/wandb,MIT,2017-03-24 05:46:23.000,2025-10-23 04:22:21.000000,2025-10-22 22:10:06,8546.0,783.0,59.0,7027.0,685.0,3024.0,10440.0,"The AI developer platform. Use Weights & Biases to train and fine-tune models, and manage models from experimentation..",223.0,44,True,348.0,2025-10-07 19:55:36.000,0.22.2,322.0,wandb/wandb,wandb,conda-forge/wandb,,,,86429.0,84170.0,https://pypi.org/project/wandb,2025-09-29 17:15:18.000,2259.0,20738797.0,20758356.0,https://anaconda.org/conda-forge/wandb,2025-10-07 23:32:59.329,1230702.0,,,,,1.0,1225.0,,,,,,,,,,,,,,,,,,
36,Milvus,milvus-io/milvus,nn-search,,https://github.com/milvus-io/milvus,https://github.com/milvus-io/milvus,Apache-2.0,2019-09-16 06:43:43.000,2025-10-23 13:48:04.401259,2025-10-23 11:52:05,23333.0,3479.0,311.0,27114.0,801.0,13669.0,38151.0,"Milvus is a high-performance, cloud-native vector database built for scalable vector ANN search.",333.0,43,True,533.0,2025-10-21 07:54:24.000,2.6.4,130.0,,pymilvus,,milvusdb/milvus,,,349.0,,https://pypi.org/project/pymilvus,2025-09-19 07:02:12.000,349.0,3205555.0,4196958.0,,,,https://hub.docker.com/r/milvusdb/milvus,2025-10-23 13:48:04.401259,89.0,71810917.0,1.0,284619.0,,,,,,1.0,,,,,,,,,,,,
37,onnx,onnx/onnx,model-serialisation,,https://github.com/onnx/onnx,https://github.com/onnx/onnx,Apache-2.0,2017-09-07 04:53:45.000,2025-10-21 06:25:02.000000,2025-10-21 06:25:00,3440.0,3809.0,427.0,4120.0,282.0,2806.0,19766.0,Open standard for machine learning interoperability.,365.0,43,True,163.0,2025-10-10 03:59:47.000,1.19.1,39.0,,onnx,conda-forge/onnx,,,,50883.0,49313.0,https://pypi.org/project/onnx,2025-10-10 03:59:47.000,1570.0,13184609.0,13217716.0,https://anaconda.org/conda-forge/onnx,2025-10-11 07:08:08.267,2102378.0,,,,,1.0,24862.0,,,,,,,,,,,,,,,,,,
38,pydeck,visgl/deck.gl,geospatial-data,,https://github.com/visgl/deck.gl,https://github.com/visgl/deck.gl,MIT,2015-12-15 08:38:29.000,2025-10-21 16:24:33.000000,2025-10-17 19:34:27,5247.0,2178.0,1660.0,5204.0,451.0,2808.0,13537.0,WebGL2 powered visualization framework.,305.0,43,True,50.0,2025-10-16 22:27:27.917,9.2.2,708.0,,pydeck,conda-forge/pydeck,,,['jupyter'],9749.0,9236.0,https://pypi.org/project/pydeck,2025-03-21 15:25:17.000,157.0,15326342.0,16038250.0,https://anaconda.org/conda-forge/pydeck,2025-04-22 14:57:20.802,842592.0,,,,,1.0,,deck.gl,https://www.npmjs.com/package/deck.gl,2025-10-16 22:27:27.917,356.0,698534.0,,,,,,,,,,,,,
